Account Number,Account Name,Investment Type,Symbol,Description,Quantity,Last Price,Last Price Change,Current Value,Today's Gain/Loss Dollar,Today's Gain/Loss Percent,Total Gain/Loss Dollar,Total Gain/Loss Percent,Percent Of Account,Cost Basis Total,Average Cost Basis,Type
Z12345678,Brokerage,Stocks,AAPL,APPLE INC,50,$250.00,+$2.50,$12500.00,+$125.00,+1.01%,+$2500.00,+25.00%,10.00%,$10000.00,$200.00,Cash,
Z12345678,Brokerage,Stocks,MSFT,MICROSOFT CORP,30,$400.00,-$1.00,$12000.00,-$30.00,-0.25%,+$3000.00,+33.33%,9.60%,$9000.00,$300.00,Cash,
Z12345678,Brokerage,Stocks,GOOGL,ALPHABET INC CAP STK CL A,20,$300.00,+$3.00,$6000.00,+$60.00,+1.01%,+$1000.00,+20.00%,4.80%,$5000.00,$250.00,Cash,
Z12345678,Brokerage,ETFs,VTI,VANGUARD INDEX FDS VANGUARD TOTAL STK MKT ETF,100,$330.00,-$0.50,$33000.00,-$50.00,-0.15%,+$3000.00,+10.00%,26.40%,$30000.00,$300.00,Cash,
Z12345678,Brokerage,ETFs,SPY,STATE STREET SPDR S&P 500 ETF UNITS,30,$670.00,+$1.00,$20100.00,+$30.00,+0.15%,+$2100.00,+11.67%,16.08%,$18000.00,$600.00,Cash,
Z12345678,Brokerage,ETFs,VXUS,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,200,$78.00,-$0.25,$15600.00,-$50.00,-0.32%,+$600.00,+4.00%,12.48%,$15000.00,$75.00,Cash,
Z12345678,Brokerage,Mutual Funds,FXAIX,FIDELITY 500 INDEX FUND,50,$230.00,+$0.50,$11500.00,+$25.00,+0.22%,+$1500.00,+15.00%,9.20%,$10000.00,$200.00,Cash,
Z12345678,Brokerage,Cash,SPAXX**,HELD IN MONEY MARKET,,,,$5000.00,,,,,4.00%,,,Cash,
Y87654321,Roth IRA,ETFs,VTI,VANGUARD INDEX FDS VANGUARD TOTAL STK MKT ETF,30,$330.00,-$0.50,$9900.00,-$15.00,-0.15%,+$900.00,+10.00%,65.56%,$9000.00,$300.00,Cash,
Y87654321,Roth IRA,ETFs,VOOG,VANGUARD S&P 500 GROWTH ETF,5,$430.00,+$1.00,$2150.00,+$5.00,+0.23%,+$150.00,+7.50%,14.24%,$2000.00,$400.00,Cash,
Y87654321,Roth IRA,Cash,FDRXX**,HELD IN MONEY MARKET,,,,$50.00,,,,,0.33%,,,Cash,
